station_name|primary_station_id|report_id|observation_id|longitude|latitude|height_of_station_above_sea_level|report_timestamp|report_meaning_of_time_stamp|report_duration|observed_variable|units|observation_value|quality_flag|source_id|data_policy_licence|platform_type|report_type|value_significance
ZAANDAM|PDAN|ICOADS-302-RJEUEX|ICOADS-302-RJEUEX-SST|-0.9|49.5|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|289.95|0|2|0|2|0|2
STAR KILIMANJARO|LAIG7|ICOADS-302-RJEUF0|ICOADS-302-RJEUF0-SST|160.6|49.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.25|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUF1|ICOADS-302-RJEUF1-SST|160.6|49.3|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|281.25|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUF5|ICOADS-302-RJEUF5-SST|-67.6|48.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|277.15|0|2|0|2|0|2
null|SHIP|ICOADS-302-RJEUF6|ICOADS-302-RJEUF6-SST|-67.6|48.9|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|277.15|2|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUG8|ICOADS-302-RJEUG8-SST|-123.4|48.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.95|0|2|0|2|0|2
CABLE INNOVATOR|MVEP4|ICOADS-302-RJEUG9|ICOADS-302-RJEUG9-SST|-123.4|48.1|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|284.95|0|2|0|2|0|2
SBI MACARENA|D5LD7|ICOADS-302-RJEUGC|ICOADS-302-RJEUGC-SST|-6.9|48.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.15|2|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUGD|ICOADS-302-RJEUGD-SST|-6.9|48.0|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|286.15|0|2|0|2|0|2
null|MASKSTID|ICOADS-302-RJEUGJ|ICOADS-302-RJEUGJ-SST|144.6|47.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|280.15|0|2|0|2|0|2
null|UBBO5|ICOADS-302-RJEUGK|ICOADS-302-RJEUGK-SST|144.6|47.8|0.0|2020-11-01 00:00:00+00:00|2|8|95|5|280.15|0|2|0|2|0|2
